BursatilIndex,Sampling Method,Indicator,Execution,Ind_Value
dowjones,das,GD,0,0.009861804288033134
dowjones,das,GD,1,0.009861804288033134
dowjones,das,GD,2,0.009861804288033134
dowjones,das,GD,3,0.009861804288033134
dowjones,das,GD,4,0.009861804288033134
dowjones,das,GD,5,0.009861804288033134
dowjones,das,GD,6,0.009861804288033134
dowjones,das,GD,7,0.009861804288033134
dowjones,das,GD,8,0.009861804288033134
dowjones,das,GD,9,0.009861804288033134
dowjones,das,GD,10,0.009861804288033134
dowjones,das,GD,11,0.009861804288033134
dowjones,das,GD,12,0.009861804288033134
dowjones,das,GD,13,0.009861804288033134
dowjones,das,GD,14,0.009861804288033134
dowjones,das,GD,15,0.009861804288033134
dowjones,das,GD,16,0.009861804288033134
dowjones,das,GD,17,0.009861804288033134
dowjones,das,GD,18,0.009861804288033134
dowjones,das,GD,19,0.009861804288033134
dowjones,nsgaii,GD,0,0.0026207240199146438
dowjones,nsgaii,GD,1,0.002436899373062018
dowjones,nsgaii,GD,2,0.0024891999627645327
dowjones,nsgaii,GD,3,0.0025356156882508423
dowjones,nsgaii,GD,4,0.002614144458049228
dowjones,nsgaii,GD,5,0.002543958812582019
dowjones,nsgaii,GD,6,0.0026848032187682023
dowjones,nsgaii,GD,7,0.0026629309499559893
dowjones,nsgaii,GD,8,0.0025530804625267306
dowjones,nsgaii,GD,9,0.0026830415276885753
dowjones,nsgaii,GD,10,0.002509437876552321
dowjones,nsgaii,GD,11,0.002625328251714965
dowjones,nsgaii,GD,12,0.0024888370971083637
dowjones,nsgaii,GD,13,0.0025934085009260525
dowjones,nsgaii,GD,14,0.0025079285397740804
dowjones,nsgaii,GD,15,0.0026097855498669834
dowjones,nsgaii,GD,16,0.002521539257327921
dowjones,nsgaii,GD,17,0.002523338922379387
dowjones,nsgaii,GD,18,0.0025750044784265225
dowjones,nsgaii,GD,19,0.0026948533258184222
dowjones,sms,GD,0,0.0021646581818647076
dowjones,sms,GD,1,0.0021381262533989457
dowjones,sms,GD,2,0.0021833979147526717
dowjones,sms,GD,3,0.0021359034187167013
dowjones,sms,GD,4,0.0020156674338730014
dowjones,sms,GD,5,0.0019330963741085252
dowjones,sms,GD,6,0.002011429203619532
dowjones,sms,GD,7,0.001840984272114331
dowjones,sms,GD,8,0.0020437294732458984
dowjones,sms,GD,9,0.0018350943950826972
dowjones,sms,GD,10,0.0022098126932637266
dowjones,sms,GD,11,0.001989413630903472
dowjones,sms,GD,12,0.002132625037178251
dowjones,sms,GD,13,0.002214874760701396
dowjones,sms,GD,14,0.0022429108716799187
dowjones,sms,GD,15,0.0019928470764192
dowjones,sms,GD,16,0.0021587075348135664
dowjones,sms,GD,17,0.00217260751547496
dowjones,sms,GD,18,0.0022168897400603356
dowjones,sms,GD,19,0.0020069457395340265
dowjones,mkds,GD,0,0.001988565431184961
dowjones,mkds,GD,1,0.001988565431184961
dowjones,mkds,GD,2,0.001988565431184961
dowjones,mkds,GD,3,0.001988565431184961
dowjones,mkds,GD,4,0.001988565431184961
dowjones,mkds,GD,5,0.001988565431184961
dowjones,mkds,GD,6,0.001988565431184961
dowjones,mkds,GD,7,0.001988565431184961
dowjones,mkds,GD,8,0.001988565431184961
dowjones,mkds,GD,9,0.001988565431184961
dowjones,mkds,GD,10,0.001988565431184961
dowjones,mkds,GD,11,0.001988565431184961
dowjones,mkds,GD,12,0.001988565431184961
dowjones,mkds,GD,13,0.001988565431184961
dowjones,mkds,GD,14,0.001988565431184961
dowjones,mkds,GD,15,0.001988565431184961
dowjones,mkds,GD,16,0.001988565431184961
dowjones,mkds,GD,17,0.001988565431184961
dowjones,mkds,GD,18,0.001988565431184961
dowjones,mkds,GD,19,0.001988565431184961
dowjones,das,IGD,0,0.0008915000301707803
dowjones,das,IGD,1,0.0008915000301707803
dowjones,das,IGD,2,0.0008915000301707803
dowjones,das,IGD,3,0.0008915000301707803
dowjones,das,IGD,4,0.0008915000301707803
dowjones,das,IGD,5,0.0008915000301707803
dowjones,das,IGD,6,0.0008915000301707803
dowjones,das,IGD,7,0.0008915000301707803
dowjones,das,IGD,8,0.0008915000301707803
dowjones,das,IGD,9,0.0008915000301707803
dowjones,das,IGD,10,0.0008915000301707803
dowjones,das,IGD,11,0.0008915000301707803
dowjones,das,IGD,12,0.0008915000301707803
dowjones,das,IGD,13,0.0008915000301707803
dowjones,das,IGD,14,0.0008915000301707803
dowjones,das,IGD,15,0.0008915000301707803
dowjones,das,IGD,16,0.0008915000301707803
dowjones,das,IGD,17,0.0008915000301707803
dowjones,das,IGD,18,0.0008915000301707803
dowjones,das,IGD,19,0.0008915000301707803
dowjones,nsgaii,IGD,0,7.67893724853275e-05
dowjones,nsgaii,IGD,1,6.921442054168182e-05
dowjones,nsgaii,IGD,2,5.9397785336741704e-05
dowjones,nsgaii,IGD,3,6.16548726279264e-05
dowjones,nsgaii,IGD,4,6.906611169248204e-05
dowjones,nsgaii,IGD,5,6.4049082007915e-05
dowjones,nsgaii,IGD,6,6.9725922670613e-05
dowjones,nsgaii,IGD,7,6.94443074729366e-05
