BursatilIndex,Sampling Method,Indicator,Execution,Ind_Value
nasdaq100,das,GD,0,0.009138464539198447
nasdaq100,das,GD,1,0.009138464539198447
nasdaq100,das,GD,2,0.009138464539198447
nasdaq100,das,GD,3,0.009138464539198447
nasdaq100,das,GD,4,0.009138464539198447
nasdaq100,das,GD,5,0.009138464539198447
nasdaq100,das,GD,6,0.009138464539198447
nasdaq100,das,GD,7,0.009138464539198447
nasdaq100,das,GD,8,0.009138464539198447
nasdaq100,das,GD,9,0.009138464539198447
nasdaq100,das,GD,10,0.009138464539198447
nasdaq100,das,GD,11,0.009138464539198447
nasdaq100,das,GD,12,0.009138464539198447
nasdaq100,das,GD,13,0.009138464539198447
nasdaq100,das,GD,14,0.009138464539198447
nasdaq100,das,GD,15,0.009138464539198447
nasdaq100,das,GD,16,0.009138464539198447
nasdaq100,das,GD,17,0.009138464539198447
nasdaq100,das,GD,18,0.009138464539198447
nasdaq100,das,GD,19,0.009138464539198447
nasdaq100,nsgaii,GD,0,0.0024658287308101856
nasdaq100,nsgaii,GD,1,0.002375428964644012
nasdaq100,nsgaii,GD,2,0.002454731601858431
nasdaq100,nsgaii,GD,3,0.002395764206288359
nasdaq100,nsgaii,GD,4,0.0023813073588914344
nasdaq100,nsgaii,GD,5,0.002461718250500155
nasdaq100,nsgaii,GD,6,0.00241147764448218
nasdaq100,nsgaii,GD,7,0.0023358008017529447
nasdaq100,nsgaii,GD,8,0.0024334594512365267
nasdaq100,nsgaii,GD,9,0.002426437403073527
nasdaq100,nsgaii,GD,10,0.0024254605712624912
nasdaq100,nsgaii,GD,11,0.002430608010979772
nasdaq100,nsgaii,GD,12,0.0024612936130648127
nasdaq100,nsgaii,GD,13,0.0023485131210289343
nasdaq100,nsgaii,GD,14,0.002406200749220209
nasdaq100,nsgaii,GD,15,0.002448635390301236
nasdaq100,nsgaii,GD,16,0.0024612736101250025
nasdaq100,nsgaii,GD,17,0.002446417226567691
nasdaq100,nsgaii,GD,18,0.0024143945270272047
nasdaq100,nsgaii,GD,19,0.002406656921762023
nasdaq100,sms,GD,0,0.0019516522638428231
nasdaq100,sms,GD,1,0.0020366470229681746
nasdaq100,sms,GD,2,0.001972285083669393
nasdaq100,sms,GD,3,0.0019395537522961912
nasdaq100,sms,GD,4,0.0019864342871599035
nasdaq100,sms,GD,5,0.001933058521709253
nasdaq100,sms,GD,6,0.0019686942886051953
nasdaq100,sms,GD,7,0.0019672558712151215
nasdaq100,sms,GD,8,0.002007406505711617
nasdaq100,sms,GD,9,0.0020816316196998995
nasdaq100,sms,GD,10,0.001998956908671325
nasdaq100,sms,GD,11,0.0019699105426783784
nasdaq100,sms,GD,12,0.0020988624828117883
nasdaq100,sms,GD,13,0.001883027469219441
nasdaq100,sms,GD,14,0.00196864525856346
nasdaq100,sms,GD,15,0.0018636888530260624
nasdaq100,sms,GD,16,0.0020820983880552955
nasdaq100,sms,GD,17,0.0018617641959571363
nasdaq100,sms,GD,18,0.001960027273245866
nasdaq100,sms,GD,19,0.001983371473007253
nasdaq100,mkds,GD,0,0.00283086134726582
nasdaq100,mkds,GD,1,0.00283086134726582
nasdaq100,mkds,GD,2,0.00283086134726582
nasdaq100,mkds,GD,3,0.00283086134726582
nasdaq100,mkds,GD,4,0.00283086134726582
nasdaq100,mkds,GD,5,0.00283086134726582
nasdaq100,mkds,GD,6,0.00283086134726582
nasdaq100,mkds,GD,7,0.00283086134726582
nasdaq100,mkds,GD,8,0.00283086134726582
nasdaq100,mkds,GD,9,0.00283086134726582
nasdaq100,mkds,GD,10,0.00283086134726582
nasdaq100,mkds,GD,11,0.00283086134726582
nasdaq100,mkds,GD,12,0.00283086134726582
nasdaq100,mkds,GD,13,0.00283086134726582
nasdaq100,mkds,GD,14,0.00283086134726582
nasdaq100,mkds,GD,15,0.00283086134726582
nasdaq100,mkds,GD,16,0.00283086134726582
nasdaq100,mkds,GD,17,0.00283086134726582
nasdaq100,mkds,GD,18,0.00283086134726582
nasdaq100,mkds,GD,19,0.00283086134726582
nasdaq100,das,IGD,0,0.0012589222051593591
nasdaq100,das,IGD,1,0.0012589222051593591
nasdaq100,das,IGD,2,0.0012589222051593591
nasdaq100,das,IGD,3,0.0012589222051593591
nasdaq100,das,IGD,4,0.0012589222051593591
nasdaq100,das,IGD,5,0.0012589222051593591
nasdaq100,das,IGD,6,0.0012589222051593591
nasdaq100,das,IGD,7,0.0012589222051593591
nasdaq100,das,IGD,8,0.0012589222051593591
nasdaq100,das,IGD,9,0.0012589222051593591
nasdaq100,das,IGD,10,0.0012589222051593591
nasdaq100,das,IGD,11,0.0012589222051593591
nasdaq100,das,IGD,12,0.0012589222051593591
nasdaq100,das,IGD,13,0.0012589222051593591
nasdaq100,das,IGD,14,0.0012589222051593591
nasdaq100,das,IGD,15,0.0012589222051593591
nasdaq100,das,IGD,16,0.0012589222051593591
nasdaq100,das,IGD,17,0.0012589222051593591
nasdaq100,das,IGD,18,0.0012589222051593591
nasdaq100,das,IGD,19,0.0012589222051593591
nasdaq100,nsgaii,IGD,0,9.40730871400067e-05
nasdaq100,nsgaii,IGD,1,8.58201658379475e-05
nasdaq100,nsgaii,IGD,2,9.926578654817443e-05
nasdaq100,nsgaii,IGD,3,8.525845082901702e-05
nasdaq100,nsgaii,IGD,4,8.289627918625888e-05
nasdaq100,nsgaii,IGD,5,8.932114131972188e-05
nasdaq100,nsgaii,IGD,6,9.790098828450218e-05
nasdaq100,nsgaii,IGD,7,8.090674916448137e-05
nasdaq100,nsgaii,IGD,8,9.501511709275183e-05
nasdaq100,nsgaii,IGD,9,9.246974462373176e-05
nasdaq100,nsgaii,IGD,10,9.469261727674015e-05
nasdaq100,nsgaii,IGD,11,8.536034839412287e-05
nasdaq100,nsgaii,IGD,12,8.438180229460418e-05
nasdaq100,nsgaii,IGD,13,8.23212457850639e-05
nasdaq100,nsgaii,IGD,14,9.431368378509674e-05
nasdaq100,nsgaii,IGD,15,8.533706673935303e-05
