BursatilIndex,Sampling Method,Indicator,Execution,Ind_Value
sp500,das,GD,0,0.011089916672163917
sp500,das,GD,1,0.011089916672163917
sp500,das,GD,2,0.011089916672163917
sp500,das,GD,3,0.011089916672163917
sp500,das,GD,4,0.011089916672163917
sp500,das,GD,5,0.011089916672163917
sp500,das,GD,6,0.011089916672163917
sp500,das,GD,7,0.011089916672163917
sp500,das,GD,8,0.011089916672163917
sp500,das,GD,9,0.011089916672163917
sp500,das,GD,10,0.011089916672163917
sp500,das,GD,11,0.011089916672163917
sp500,das,GD,12,0.011089916672163917
sp500,das,GD,13,0.011089916672163917
sp500,das,GD,14,0.011089916672163917
sp500,das,GD,15,0.011089916672163917
sp500,das,GD,16,0.011089916672163917
sp500,das,GD,17,0.011089916672163917
sp500,das,GD,18,0.011089916672163917
sp500,das,GD,19,0.011089916672163917
sp500,nsgaii,GD,0,0.002882231033759199
sp500,nsgaii,GD,1,0.0029448026398935074
sp500,nsgaii,GD,2,0.0027774104090925707
sp500,nsgaii,GD,3,0.003009034300116682
sp500,nsgaii,GD,4,0.002857623014421607
sp500,nsgaii,GD,5,0.003113953259627671
sp500,nsgaii,GD,6,0.0030127105917862104
sp500,nsgaii,GD,7,0.0026543028770777666
sp500,nsgaii,GD,8,0.0029917171516869344
sp500,nsgaii,GD,9,0.0028428897098015946
sp500,nsgaii,GD,10,0.0028004991735165684
sp500,nsgaii,GD,11,0.0030528614308840607
sp500,nsgaii,GD,12,0.0030082768370626738
sp500,nsgaii,GD,13,0.002887505239233626
sp500,nsgaii,GD,14,0.0028868495903824716
sp500,nsgaii,GD,15,0.00285826022165346
sp500,nsgaii,GD,16,0.002814304572066937
sp500,nsgaii,GD,17,0.002881648944580648
sp500,nsgaii,GD,18,0.00313104752432621
sp500,nsgaii,GD,19,0.003000713296647669
sp500,sms,GD,0,0.0019909918500264265
sp500,sms,GD,1,0.0021318858121080657
sp500,sms,GD,2,0.0021443922145156437
sp500,sms,GD,3,0.0018838759657452773
sp500,sms,GD,4,0.0019047191540004953
sp500,sms,GD,5,0.0020515829076014082
sp500,sms,GD,6,0.0018782888826948064
sp500,sms,GD,7,0.002038919347994254
sp500,sms,GD,8,0.0019204239692512104
sp500,sms,GD,9,0.0020737970582561777
sp500,sms,GD,10,0.001913465441937789
sp500,sms,GD,11,0.0020260519658845903
sp500,sms,GD,12,0.001913495447550702
sp500,sms,GD,13,0.0017804708758410253
sp500,sms,GD,14,0.001886111385876044
sp500,sms,GD,15,0.0018891935731470558
sp500,sms,GD,16,0.0020724867778248402
sp500,sms,GD,17,0.0019852169742319635
sp500,sms,GD,18,0.0019309757537344515
sp500,sms,GD,19,0.002090528900949078
sp500,mkds,GD,0,0.001636946479005357
sp500,mkds,GD,1,0.001636946479005357
sp500,mkds,GD,2,0.001636946479005357
sp500,mkds,GD,3,0.001636946479005357
sp500,mkds,GD,4,0.001636946479005357
sp500,mkds,GD,5,0.001636946479005357
sp500,mkds,GD,6,0.001636946479005357
sp500,mkds,GD,7,0.001636946479005357
sp500,mkds,GD,8,0.001636946479005357
sp500,mkds,GD,9,0.001636946479005357
sp500,mkds,GD,10,0.001636946479005357
sp500,mkds,GD,11,0.001636946479005357
sp500,mkds,GD,12,0.001636946479005357
sp500,mkds,GD,13,0.001636946479005357
sp500,mkds,GD,14,0.001636946479005357
sp500,mkds,GD,15,0.001636946479005357
sp500,mkds,GD,16,0.001636946479005357
sp500,mkds,GD,17,0.001636946479005357
sp500,mkds,GD,18,0.001636946479005357
sp500,mkds,GD,19,0.001636946479005357
sp500,das,IGD,0,0.0025900253673552687
sp500,das,IGD,1,0.0025900253673552687
sp500,das,IGD,2,0.0025900253673552687
sp500,das,IGD,3,0.0025900253673552687
sp500,das,IGD,4,0.0025900253673552687
sp500,das,IGD,5,0.0025900253673552687
sp500,das,IGD,6,0.0025900253673552687
sp500,das,IGD,7,0.0025900253673552687
sp500,das,IGD,8,0.0025900253673552687
sp500,das,IGD,9,0.0025900253673552687
sp500,das,IGD,10,0.0025900253673552687
sp500,das,IGD,11,0.0025900253673552687
sp500,das,IGD,12,0.0025900253673552687
sp500,das,IGD,13,0.0025900253673552687
sp500,das,IGD,14,0.0025900253673552687
sp500,das,IGD,15,0.0025900253673552687
sp500,das,IGD,16,0.0025900253673552687
sp500,das,IGD,17,0.0025900253673552687
sp500,das,IGD,18,0.0025900253673552687
sp500,das,IGD,19,0.0025900253673552687
sp500,nsgaii,IGD,0,0.00015247588186999847
sp500,nsgaii,IGD,1,0.0001588241455890149
sp500,nsgaii,IGD,2,0.0001479159675143226
sp500,nsgaii,IGD,3,0.0001758141192217021
sp500,nsgaii,IGD,4,0.00014701960778433558
sp500,nsgaii,IGD,5,0.0001860755722049322
sp500,nsgaii,IGD,6,0.00016222052627410766
sp500,nsgaii,IGD,7,0.00020012661548890503
sp500,nsgaii,IGD,8,0.0001765164323503645
sp500,nsgaii,IGD,9,0.0001517229931047517
sp500,nsgaii,IGD,10,0.00015010313040129486
sp500,nsgaii,IGD,11,0.00016443568167112926
sp500,nsgaii,IGD,12,0.00016524226871267943
sp500,nsgaii,IGD,13,0.0001739479878210579
sp500,nsgaii,IGD,14,0.00017465187629658226
sp500,nsgaii,IGD,15,0.00018465689596708452
sp500,nsgaii,IGD,16,0.00014659971354861803
sp500,nsgaii,IGD,17,0.00015511594214426323
sp500,nsgaii,IGD,18,0.00018093491004282373
sp500,nsgaii,IGD,19,0.00017451593706668033
sp500,sms,IGD,0,0.000575024278914473
sp500,sms,IGD,1,0.00022391402355579194
sp500,sms,IGD,2,0.0002510259024874728
sp500,sms,IGD,3,0.0006465031129912673
sp500,sms,IGD,4,0.0008709641278580887
sp500,sms,IGD,5,0.00038148027026438456
sp500,sms,IGD,6,0.0014065445200567672
sp500,sms,IGD,7,0.0001555133598055749
sp500,sms,IGD,8,0.0004649023084527963
sp500,sms,IGD,9,0.00035620162606143593
sp500,sms,IGD,10,0.00043648046699150275
sp500,sms,IGD,11,0.0004245314433800554
sp500,sms,IGD,12,0.00031759833249808754
sp500,sms,IGD,13,0.0012477555473704614
sp500,sms,IGD,14,0.0004920245908820387
sp500,sms,IGD,15,0.0003828511411198543
sp500,sms,IGD,16,0.00036351330943874957
sp500,sms,IGD,17,0.00035128184087393504
sp500,sms,IGD,18,0.0008346848705357344
sp500,sms,IGD,19,0.0005039615807139816
sp500,mkds,IGD,0,8.299139255475355e-05
sp500,mkds,IGD,1,8.299139255475355e-05
sp500,mkds,IGD,2,8.299139255475355e-05
sp500,mkds,IGD,3,8.299139255475355e-05
sp500,mkds,IGD,4,8.299139255475355e-05
sp500,mkds,IGD,5,8.299139255475355e-05
sp500,mkds,IGD,6,8.299139255475355e-05
sp500,mkds,IGD,7,8.299139255475355e-05
sp500,mkds,IGD,8,8.299139255475355e-05
sp500,mkds,IGD,9,8.299139255475355e-05
sp500,mkds,IGD,10,8.299139255475355e-05
sp500,mkds,IGD,11,8.299139255475355e-05
sp500,mkds,IGD,12,8.299139255475355e-05
sp500,mkds,IGD,13,8.299139255475355e-05
sp500,mkds,IGD,14,8.299139255475355e-05
sp500,mkds,IGD,15,8.299139255475355e-05
sp500,mkds,IGD,16,8.299139255475355e-05
sp500,mkds,IGD,17,8.299139255475355e-05
sp500,mkds,IGD,18,8.299139255475355e-05
sp500,mkds,IGD,19,8.299139255475355e-05
sp500,das,GDplus,0,0.011074956036246027
sp500,das,GDplus,1,0.011074956036246027
sp500,das,GDplus,2,0.011074956036246027
sp500,das,GDplus,3,0.011074956036246027
sp500,das,GDplus,4,0.011074956036246027
sp500,das,GDplus,5,0.011074956036246027
sp500,das,GDplus,6,0.011074956036246027
sp500,das,GDplus,7,0.011074956036246027
sp500,das,GDplus,8,0.011074956036246027
sp500,das,GDplus,9,0.011074956036246027
sp500,das,GDplus,10,0.011074956036246027
sp500,das,GDplus,11,0.011074956036246027
sp500,das,GDplus,12,0.011074956036246027
sp500,das,GDplus,13,0.011074956036246027
sp500,das,GDplus,14,0.011074956036246027
sp500,das,GDplus,15,0.011074956036246027
sp500,das,GDplus,16,0.011074956036246027
sp500,das,GDplus,17,0.011074956036246027
sp500,das,GDplus,18,0.011074956036246027
sp500,das,GDplus,19,0.011074956036246027
sp500,nsgaii,GDplus,0,0.0025121150813095495
sp500,nsgaii,GDplus,1,0.002582126867458634
sp500,nsgaii,GDplus,2,0.0024402740867546
sp500,nsgaii,GDplus,3,0.0026673549508393095
sp500,nsgaii,GDplus,4,0.0025290495998198386
sp500,nsgaii,GDplus,5,0.0027477807773531324
sp500,nsgaii,GDplus,6,0.002650539117111761
sp500,nsgaii,GDplus,7,0.002368063653296945
