,0
0,ATVI
1,ADBE
2,AMD
3,ABNB
4,ALGN
5,GOOGL
6,AEP
7,AMGN
8,ADI
9,ANSS
10,AMAT
11,ASML
12,AZN
13,TEAM
14,ADSK
15,BKR
16,BIIB
17,BKNG
18,AVGO
19,CDNS
20,CHTR
21,CTAS
22,CSCO
23,CTSH
24,CMCSA
25,CEG
26,CPRT
27,CSGP
28,COST
29,CRWD
30,CSX
31,DDOG
32,DXCM
33,FANG
34,DLTR
35,EBAY
36,EA
37,ENPH
38,EXC
39,FAST
40,FTNT
41,GEHC
42,GILD
43,GFS
44,HON
45,IDXX
46,INTC
47,INTU
48,ISRG
49,JD
50,KDP
51,KLAC
52,KHC
53,LRCX
54,LCID
55,LULU
56,MAR
57,MRVL
58,MELI
59,META
60,MCHP
61,MU
62,MSFT
63,MRNA
64,MDLZ
65,MNST
66,NFLX
67,NXPI
68,ORLY
69,ODFL
70,ON
71,PCAR
72,PANW
73,PAYX
74,PYPL
75,PEP
76,PDD
77,QCOM
78,REGN
79,ROST
80,SGEN
81,SIRI
82,SBUX
83,SNPS
84,TMUS
85,TXN
86,VRSK
87,VRTX
88,WBA
89,WBD
90,WDAY
91,XEL
92,ZM
93,ZS
