,exp_risk,exp_return,esg_score
AAPL,0.2979793654335706,-0.06320699141267536,0.1668
VZ,0.22787814673793094,0.15407252085128234,0.1848
V,0.2568009165991736,-0.05047736070419601,0.1607
UNH,0.23106526974780472,-0.0903753132388387,0.1754
TRV,0.22568533874946678,-0.03581817554029673,0.2052
PG,0.18748609903223737,-0.049778207777461524,0.2661
NKE,0.3469693114451171,0.24575773934148995,0.16949999999999998
MSFT,0.30965430117581005,-0.006792892502773421,0.1524
MRK,0.21397144347620992,-0.12379388673709353,0.2184
MMM,0.270361125515278,0.30967659726054775,0.3361
MCD,0.17243101605545627,-0.03273788603435576,0.24789999999999998
KO,0.17476506926748261,-0.026787902536346733,0.2256
JPM,0.2588078720924107,0.06419531988110305,0.2902
JNJ,0.1705884586935231,0.01795105392268099,0.25079999999999997
INTC,0.37149219326006033,0.17952343047202327,0.1726
IBM,0.20431996825094983,-0.13810548184888038,0.1477
HON,0.22195469018249744,0.09138217856849921,0.29309999999999997
HD,0.2707896293476048,0.11443220923528495,0.12539999999999998
GS,0.2683855807270558,0.14359453530032978,0.2616
DIS,0.3260884043050921,0.38261712641321294,0.14880000000000002
CVX,0.2823615216993361,-0.18986586408834513,0.3761
CSCO,0.2541623209141401,0.013626653832490853,0.1207
CRM,0.4033980160668783,0.21894764365633887,0.1318
CAT,0.30671792331110526,-0.1057241881125875,0.3418
BA,0.3974206128817154,0.09130287519783442,0.3468
AXP,0.3211500499588662,0.08457595183783709,0.1838
AMGN,0.20914727764163374,-0.16005723143985146,0.22039999999999998
WBA,0.30418914151163257,0.3427516371314861,0.18289999999999998
WMT,0.21755087206226137,-0.05453463184433491,0.2463
