,exp_risk,exp_return,esg_score
AAPL,0.2979792775517775,-0.06320699141267551,0.1668
NXPI,0.399967932097649,0.04763983019244762,0.21600000000000003
NVDA,0.5830147156405552,-0.2257337752880395,0.13449999999999998
NFLX,0.5939749773838613,0.26439105020477277,0.1625
MU,0.430355292433256,0.03887659648026635,0.1744
MSFT,0.30965428491881075,-0.006792940141877541,0.1524
MRVL,0.5918325833439296,0.19281347064469542,0.20129999999999998
MNST,0.2593413053963677,-0.07995372900274474,0.2803
META,0.5541446980532562,0.06810415578045476,0.32539999999999997
MDLZ,0.1945046479428654,-0.06098032623563888,0.2378
MCHP,0.40694204601084394,0.011026735239990756,0.3098
MAR,0.32574107389993806,-0.07864341206335046,0.2189
LULU,0.42150812491475986,0.08392597836851634,0.16940000000000002
LRCX,0.4633435918835396,-0.0237876188146904,0.13449999999999998
KLAC,0.426968908210092,-0.10673170577436873,0.1679
KHC,0.22360365609486682,0.028715374300142687,0.353
ON,0.5231839516622512,-0.20662783489760747,0.2659
ORLY,0.255442282025909,-0.20042375079588226,0.1303
PANW,0.4349432977877768,-0.16987645419423048,0.1392
PAYX,0.25504332179232153,0.018560299400807608,0.1748
XEL,0.21317272323897626,0.00837288445234391,0.23800000000000002
WDAY,0.4166790288324624,0.16939272115876924,0.1308
WBA,0.3041891093054027,0.3427515920971749,0.18289999999999998
VRTX,0.2764401984511296,-0.3369112017186785,0.22820000000000001
VRSK,0.24475131063715613,-0.04777712844272921,0.193
TXN,0.28188210865455016,0.1081127857493925,0.1993
TSLA,0.6259019382459305,0.3393096618084628,0.2854
TMUS,0.25490637700904256,-0.10579079337034883,0.2607
JD,0.6252379123411781,0.5645693043096487,0.24710000000000001
SIRI,0.45375253566101575,0.16385371319228856,0.16649999999999998
SGEN,0.36895151994336806,-0.09524041156865858,0.2713
SBUX,0.29558092108136674,0.06390461183853142,0.2483
ROST,0.3661250057609923,-0.013976727592798352,0.1593
REGN,0.294789684326599,-0.1082917345209977,0.1815
QCOM,0.41836057522577075,0.10040336153483793,0.1659
PYPL,0.5039063719026257,0.7561033554944175,0.15990000000000001
PEP,0.1764003955948101,-0.02766151952858573,0.1594
PCAR,0.25125239926645027,-0.20040081920747568,0.2777
SNPS,0.3610305164916328,-0.16083347522910713,0.13449999999999998
ISRG,0.377582593238231,0.15827368260713395,0.23739999999999997
INTU,0.41351200271628435,0.11388967129993303,0.162
INTC,0.3714921962719465,0.1795233889551708,0.1726
CMCSA,0.2763361628966679,0.11803719947439494,0.24760000000000001
CHTR,0.35865370257463264,0.24695050392535542,0.26530000000000004
CDNS,0.35901745714748473,-0.14233971059175302,0.1219
BKNG,0.3680803358390675,-0.048875368718910996,0.22329999999999997
BIIB,0.3675005352368871,0.06112683299918436,0.21050000000000002
AVGO,0.34541784625816546,-0.25465622559029183,0.2241
ANSS,0.35787999687142386,0.17010163679290305,0.1305
AMZN,0.42541670866291986,0.16539905956062945,0.3028
AMGN,0.20914723760259474,-0.1600572314398514,0.22039999999999998
AMAT,0.44194780817768825,0.023351132830348908,0.11560000000000001
AEP,0.2184130207100154,0.022638833385659807,0.2581
ADSK,0.4214147668252698,0.23931299862538427,0.1605
ADP,0.2515741753150058,-0.01250800954908616,0.13970000000000002
ADI,0.3176852402119208,0.02396343791746748,0.2378
ADBE,0.41053273067308843,0.1106036208536219,0.1246
COST,0.2655138067835513,-0.060454427048601225,0.2419
CPRT,0.2875934925688161,-0.05571760323172593,0.1805
CSCO,0.25416228769588783,0.013626653832491384,0.1207
ILMN,0.4900400672851377,0.6653086112060042,0.109
IDXX,0.37308690219821433,0.2610857882040425,0.1945
HON,0.22195465891572,0.09138225161563994,0.29309999999999997
GOOGL,0.348659585995046,0.08080190638140053,0.2414
GILD,0.22194127943191677,-0.132551255170079,0.2208
FTNT,0.5053558657478997,0.07641097510601343,0.1913
FAST,0.2568335534939376,-0.029107098239933064,0.264
EXC,0.22488389607444018,-0.04190116957523863,0.2439
EBAY,0.33439937214002485,0.32797177045004267,0.1711
EA,0.2447208003577725,0.0631493119451463,0.1036
DXCM,0.4766161838024961,0.3330657922156455,0.237
DLTR,0.3817657956955125,0.008923819624800648,0.1487
CTSH,0.29911454442170227,0.08859739754056459,0.1438
CTAS,0.2398977355944719,-0.08420170003674671,0.1825
CSX,0.2494593678982396,0.08165984042192362,0.2009
CSGP,0.3651759540376338,0.09277454083847776,0.26940000000000003
