,exp_risk,exp_return,esg_score
A,0.30629491841068784,0.1999014886631759,0.1524
NVDA,0.5830146623640826,-0.22573383504515865,0.13449999999999998
NUE,0.4223326058824452,-0.1699991335092178,0.3194
NTRS,0.3373860708412289,0.2935850376016255,0.2386
NTAP,0.2918256266371568,0.08890536978743688,0.1549
NSC,0.25854704617983754,0.2030045899307475,0.2273
NRG,0.33618609672083644,-0.05564495262412158,0.32159999999999994
NOW,0.467423881870306,0.10774702902428773,0.1605
NOC,0.2748948234167829,-0.16595404719105422,0.27399999999999997
NKE,0.3469693032675941,0.24575773934148937,0.16949999999999998
NI,0.2298545246563195,-0.04822572164465567,0.29510000000000003
NFLX,0.5939749773838613,0.26439105020477277,0.1625
NEE,0.2913273646417905,0.17741045930262203,0.2753
NDSN,0.2674577558431784,0.08821080098980633,0.2666
NDAQ,0.2610297413945935,0.15834333739071882,0.1165
NCLH,0.6504628814221786,0.3498597446429568,0.2622
MU,0.4303553320326776,0.03887648591322921,0.1744
MTD,0.32123536364670086,0.19472700732070192,0.1332
MTB,0.34576834441657106,0.11928664520278175,0.2616
MSI,0.25551401354243974,-0.07144580998668663,0.1431
MSFT,0.30965430876365296,-0.006792892502773281,0.1524
MSCI,0.3552692431181097,0.1472889450920067,0.16010000000000002
MS,0.2906069949562359,0.1546873887084113,0.22219999999999998
MRO,0.45748715286147745,-0.2597202428984888,0.4201
NEM,0.35007506750902667,0.14690269774364986,0.20329999999999998
NVR,0.3047100155177173,-0.048726927455695325,0.20329999999999998
NWSA,0.3265013245459783,0.05847417181692231,0.1161
PM,0.21354011401733666,-0.03350993028315808,0.2379
PLD,0.2968689429696939,0.162962209529995,0.0851
PKG,0.273865316792549,-0.08946489797676994,0.1675
PHM,0.3751183780410242,-0.2120490384360084,0.2087
PH,0.2969056937996347,-0.12097202836889548,0.2913
PGR,0.28202207677388275,-0.25576270022246467,0.2087
PG,0.18748609401302718,-0.049778207777461426,0.2661
PFG,0.29737003056460765,-0.0393124437404445,0.1722
PFE,0.2713702905586525,0.13390763382777646,0.2534
PEP,0.1764004901599654,-0.02766162038599036,0.1594
PEG,0.2165402487542698,-0.009689311428698787,0.2631
PEAK,0.259801831854315,0.3350950476169199,0.0973
PCG,0.2961614916359646,-0.16694132015279697,0.35259999999999997
MRK,0.21397144747671018,-0.12379388673709353,0.2184
PCAR,0.2512523223900244,-0.2004008533491995,0.2777
PANW,0.4349432977877768,-0.16987645419423048,0.1392
OXY,0.44926813513302105,-0.3104846599501084,0.43229999999999996
ORLY,0.255442282025909,-0.20042375079588226,0.1303
ORCL,0.31422217789081003,-0.04752783462304646,0.1392
ON,0.5231839516622512,-0.20662783489760747,0.2659
OMC,0.28792566720002155,-0.07423234737038927,0.163
OKE,0.30455652189136473,-0.06939563679276499,0.261
O,0.2011766539765761,0.11700310276627332,0.1547
NXPI,0.3999680555617087,0.0476397911406015,0.21600000000000003
PAYX,0.25504336447043735,0.018560299400808066,0.1748
MOS,0.47270213464723226,0.08884741642852372,0.3406
PNC,0.30320604596160194,0.2683038414335312,0.2234
LMT,0.2266707981243209,-0.17784076340155333,0.2836
LLY,0.2803451340574583,-0.4284434558614665,0.324
LKQ,0.28961498406330755,0.0973723063548685,0.1054
LH,0.2545375235715263,0.08366366109679868,0.1881
LEN,0.36331691814943506,-0.029888473467772174,0.2311
LDOS,0.2572630115575752,0.032107694539876885,0.1167
L,0.21419800642513093,-0.06169836653890305,0.1648
