,exp_risk,exp_return,esg_score
AAPL,0.2965669288514537,-0.16908365603488787,0.16699999999999998
VZ,0.1996792246644902,0.15408904248840286,0.185
V,0.2673981669723698,-0.008382126429124602,0.161
UNH,0.22913195375498813,-0.10085792020365278,0.175
TRV,0.22557832541953218,-0.08852017063961118,0.205
PG,0.18491186807296478,-0.07590430354072872,0.266
NKE,0.34417166852876624,0.14517995868104688,0.17
MSFT,0.30415820936022614,-0.11559988435043148,0.152
MRK,0.22134891777084115,-0.22187588299445007,0.218
MMM,0.2547509421594225,0.3054252850808702,0.336
MCD,0.17270719283262775,-0.1440714026228703,0.248
KO,0.16929476161439008,-0.08196875307829578,0.226
JPM,0.2663385981044371,0.011570895021503642,0.29
JNJ,0.16024474303589617,-0.024687423842527183,0.251
INTC,0.36423915669715773,0.23369926265710397,0.17300000000000001
IBM,0.21690245133178845,-0.027348664521336375,0.14800000000000002
HON,0.2219682102036953,0.01065838769792298,0.293
HD,0.2722697965583452,-0.006578095200620364,0.125
GS,0.27300480730074556,0.05528493926776514,0.262
DIS,0.32450067380444925,0.34190776019053337,0.149
CVX,0.2841299357582153,-0.24031871507316863,0.376
CSCO,0.25200002681805855,-0.012886718488622235,0.121
CRM,0.4020808184584064,0.07485763758393307,0.132
CAT,0.3046843832960735,-0.08012755476689941,0.342
BA,0.3990621362450182,0.06175497058945248,0.34700000000000003
AXP,0.3271037800845963,-0.033008191003952386,0.184
AMGN,0.20553386732402779,0.01603141321461079,0.22
WBA,0.2929496004571258,0.26338908679926254,0.183
WMT,0.2162337595017323,-0.060759888845896726,0.24600000000000002
