,exp_risk,exp_return,esg_score
NXPI,0.4004312558398989,-0.0035291854104726656,0.21600000000000003
NFLX,0.5754833384617468,0.10532305373782576,0.163
MU,0.4290926030407744,0.13363331491885347,0.174
MSFT,0.3041581286194336,-0.1155998267868788,0.152
MRVL,0.5816061650793602,-0.005038711650355837,0.201
META,0.5497921791439783,0.10598545969580957,0.325
ON,0.5314442758181136,-0.44061359143424983,0.266
MCHP,0.401652139737516,-0.09101089827792548,0.31
MAR,0.3337566835370562,-0.14813731798438123,0.21899999999999997
LULU,0.42145618247735595,-0.00722382907221606,0.16899999999999998
LRCX,0.4566495205910613,-0.004594153554429902,0.134
KLAC,0.4279247427130001,-0.20676982490655127,0.168
MNST,0.2501157234595861,-0.11487663829763767,0.28
ORLY,0.25139513267379826,-0.25308748025150224,0.13
PANW,0.42590575809039105,-0.3599124489468679,0.139
PAYX,0.25114472782686315,-0.035361967496841874,0.175
XEL,0.21039915001421516,0.00741497969255789,0.23800000000000002
WDAY,0.41038181070545965,0.02504770867433271,0.131
WBA,0.2929495982443803,0.26338908679926254,0.183
VRTX,0.2763455465993456,-0.2742308213089602,0.228
VRSK,0.2430366921699509,-0.12966306704311098,0.193
TXN,0.2803336598572119,0.01492840927085056,0.19899999999999998
TMUS,0.2579966425867782,0.028487204516431316,0.261
KHC,0.2244056204186122,0.033987977245587137,0.353
SNPS,0.3613892351390878,-0.2204998853609234,0.134
SGEN,0.3826067024873124,-0.09698946192673293,0.271
SBUX,0.3003307998898865,0.0418102779350823,0.248
ROST,0.37157285310375904,0.052818570388294135,0.159
REGN,0.3038919677685041,-0.11932898622621102,0.18100000000000002
QCOM,0.4070571369197949,0.07447927078475583,0.166
PYPL,0.4931817332636516,0.7466831003148462,0.16
PEP,0.167684767022994,-0.13533113528475998,0.159
PCAR,0.25062803411308937,-0.20212062100602057,0.278
SIRI,0.2761316897480054,0.17283775469483686,0.166
INTU,0.4087073415370741,0.030289182958731002,0.162
ISRG,0.36727677275796344,-0.049759728126647855,0.237
CMCSA,0.2762750905676851,0.13462211731985999,0.248
CHTR,0.35402825418457784,0.34524110944267905,0.265
CDNS,0.35615872166649154,-0.2575444886775584,0.122
BKNG,0.36483778067078027,-0.09726510015400594,0.223
BIIB,0.3767928591782674,0.10283347479960883,0.21
AVGO,0.3292655260629721,-0.3265729539491791,0.22399999999999998
ATVI,0.29308157811077007,0.06664813267084128,0.18899999999999997
ANSS,0.3499663270107861,0.03134787745297379,0.131
AMGN,0.20553383940529255,0.01603134612258868,0.22
AMAT,0.4395900636792821,-0.015236642525123748,0.11599999999999999
AEP,0.20972902533043858,-0.027004927212753063,0.258
ADSK,0.4251264139071946,0.17452341262753182,0.16
ADI,0.31600478480995087,-0.06630114648003196,0.23800000000000002
ADBE,0.4021905418431001,0.09592853222325394,0.125
COST,0.2661296137174621,-0.15534663723205847,0.242
CPRT,0.2881150343288671,-0.15779033761686423,0.18
CSCO,0.2519999987400235,-0.012886756855017794,0.121
INTC,0.3642390836961663,0.23369926265710453,0.17300000000000001
IDXX,0.3637156949308515,0.12281244458497889,0.195
HON,0.2219682439200554,0.010658351378501102,0.293
GOOGL,0.3379633621315991,0.012444845448743653,0.24100000000000002
GILD,0.2183365010416484,-0.09167833710534029,0.221
FTNT,0.46548045378791486,-0.22843477370456058,0.191
FAST,0.2530237661839846,-0.08337757316695567,0.264
EXC,0.22163270449285272,-0.15159268627854755,0.244
EBAY,0.3407975339631868,0.21024112712476697,0.171
EA,0.24981895057361314,0.04329491752831348,0.10400000000000001
DXCM,0.46498021472262974,-0.09089658623687913,0.237
DLTR,0.39313927933061665,-0.18420278952953573,0.149
CTSH,0.29643963145280444,0.020160570923916203,0.14400000000000002
CTAS,0.24084296004803663,-0.1350719745267523,0.183
CSGP,0.3625772748635196,-0.04240455785918215,0.26899999999999996
