,exp_risk,exp_return,esg_score
NVR,0.2988402264842315,-0.11835414881495353,0.203
NDSN,0.26554064115634957,-0.068804789862441,0.267
MTD,0.315749296930003,0.025441089735227275,0.133
NVDA,0.576664070238743,-0.3588594233144129,0.134
MU,0.42909269138685385,0.13363336053950592,0.174
NEE,0.2637431411772078,-0.01831889423383545,0.275
NTRS,0.3207953546308134,0.19862589807029993,0.239
NCLH,0.6535115525636558,0.17147325274514458,0.262
NDAQ,0.2602012868112912,0.06768698794028379,0.11599999999999999
NSC,0.26117876547284313,0.0607519844469508,0.22699999999999998
NEM,0.34173934470744693,0.16752170749004863,0.203
NRG,0.33524569592471704,0.0035341247481910903,0.322
NOW,0.4619469508248956,0.001344558763746927,0.16
NOC,0.2662689423283144,-0.12423417895625334,0.27399999999999997
NKE,0.34417168041731233,0.145179958681046,0.17
NFLX,0.5754833384617468,0.10532305373782576,0.163
NI,0.2166623561682523,-0.08649543343512585,0.295
NTAP,0.2989622618498634,0.008551727080127596,0.155
A,0.2992022644279648,0.10680361327831882,0.152
PLD,0.29029079583811107,-0.03251800714513495,0.085
PKG,0.2685311167691571,-0.02131450837714585,0.168
PHM,0.36993474792507874,-0.18730315094432054,0.209
PH,0.29380584102891993,-0.13197900123418801,0.29100000000000004
PGR,0.24584920030552934,-0.1596205546058753,0.209
PG,0.18491193473185574,-0.07590430354072845,0.266
PFG,0.3018834705273057,-0.12587590025488465,0.172
PFE,0.2738966189941782,0.005618175617565035,0.253
PEP,0.16768476620503336,-0.13533118983078157,0.159
PEG,0.21101509542424046,-0.0514014142112791,0.263
PEAK,0.2511559161002561,0.21387875608118886,0.09699999999999999
PCG,0.3188524564279474,-0.25997178474952415,0.353
PCAR,0.25062799220747584,-0.2021205516606752,0.278
NWL,0.3998819918007481,0.515360412637642,0.13699999999999998
PAYX,0.251144780241615,-0.03536200508410323,0.175
PANW,0.42590575809039105,-0.3599124489468679,0.139
OXY,0.48562905332463163,-0.3221104672915131,0.43200000000000005
ORLY,0.25139513267379826,-0.25308748025150224,0.13
ORCL,0.2927547581652237,-0.22410997690620732,0.139
ON,0.5314442758181136,-0.44061359143424983,0.266
OMC,0.2827532208402587,-0.1184275952719551,0.163
OKE,0.31512138386404925,-0.11122336342114181,0.261
O,0.20034430718768995,-0.0069278503733624635,0.155
NXPI,0.40043117508313525,-0.003529185410473599,0.21600000000000003
NWSA,0.3268118684210689,0.12841177256047093,0.11599999999999999
MSCI,0.35398543287403605,0.06256495248988421,0.16
MTB,0.3497732914483533,0.04762339303925753,0.262
LVS,0.4879002554094355,-0.04280494640362122,0.177
LUV,0.35062834801590426,0.18779514871944178,0.324
LRCX,0.45664945488656733,-0.004594201841107439,0.134
LOW,0.29400900564608007,-0.08783529258461353,0.115
LNT,0.2201539631967961,0.006597795675794376,0.21899999999999997
LNC,0.5334200510859799,0.41237488931612604,0.179
LMT,0.2337252592926377,-0.12258060892952967,0.284
LLY,0.2607868908797187,-0.3668647780116112,0.324
LKQ,0.29382170920662815,-0.09706585965830088,0.105
LH,0.2556197496137439,0.06142579688799131,0.188
LEN,0.3610465290675528,-0.12577601284991624,0.231
LDOS,0.2693794641358512,0.05568280530009545,0.11699999999999999
L,0.22371275991886466,-0.04366952294833217,0.165
KR,0.30322714626997505,-0.11562507495855284,0.214
KO,0.16929471416752437,-0.0819687906426175,0.226
KMX,0.47419080873990327,0.21390797486264165,0.121
KMI,0.2443292514615188,-0.03301540256457369,0.185
KMB,0.19081953690105458,-0.04784449846848949,0.22
KLAC,0.4279248096394241,-0.20676982490655207,0.168
KIM,0.3019886486128193,-0.009901593700853108,0.121
KHC,0.22440563288341647,0.0339879772455877,0.353
KEYS,0.29961467078484955,-0.03433249587600326,0.09300000000000001
KEY,0.4509666813585439,0.3545329777224162,0.231
LYB,0.3080652553500234,-0.009521427185283475,0.24600000000000002
MA,0.29108214738570853,-0.035883300849910905,0.17
MAA,0.2440430669045284,0.023411414498981563,0.146
MSI,0.2541606996344753,-0.15675255999558657,0.14300000000000002
MSFT,0.3041582466903302,-0.11559988435043152,0.152
PM,0.21738554642652366,-0.045554700311627075,0.23800000000000002
MS,0.2892008370828688,0.0037617140796525044,0.222
MRO,0.48298360028251697,-0.27571606860806314,0.42
MRK,0.2213489358550465,-0.2218758829944503,0.218
MPC,0.34906918742539766,-0.35758970885002317,0.287
MOS,0.4747752841869173,-0.058160643239905906,0.341
MO,0.22085193604250414,-0.04986018791046549,0.24
MNST,0.2501157234595861,-0.11487663829763767,0.28
MMM,0.2547508300221926,0.3054252850808705,0.336
MMC,0.21785244531769168,-0.1540904990972073,0.195
MKC,0.23706975685792855,-0.008493063576180277,0.266
MHK,0.41425872168835304,0.3110289520778914,0.142
MGM,0.4275542731934316,-0.004458762032416816,0.255
META,0.5497921791439783,0.10598545969580957,0.325
MET,0.2750421702914064,0.00097983170464758,0.149
MDT,0.24099472952228526,0.15060430775561506,0.22699999999999998
MCO,0.28942587528247926,0.016601157113382017,0.105
MCK,0.21992132401457593,-0.40270012219159446,0.152
MCHP,0.40165209901706206,-0.09101095106223787,0.31
MCD,0.1727071777381049,-0.14407143728203564,0.248
MAS,0.3103016168574468,-0.006523706753046934,0.22399999999999998
MAR,0.3337566713765994,-0.14813731798438118,0.21899999999999997
MLM,0.29574896569625364,-0.13906617016098624,0.318
PNC,0.3002418049095322,0.17575220821180887,0.223
PPL,0.20155486088034855,-0.005828803273322841,0.33799999999999997
PNW,0.23083318936414898,-0.03917401513778327,0.311
VMC,0.28215826239312275,-0.1372879686961702,0.29
VLO,0.41288654005642844,-0.24083690828425092,0.3
VFC,0.4091446366437174,0.6834250083354557,0.129
V,0.26739819226335504,-0.00838209318926153,0.161
URI,0.39221885235777243,-0.16022951106602712,0.185
UPS,0.2816480698480225,0.05297890325728058,0.195
UNP,0.24395117841654437,0.013249692865702316,0.253
UNH,0.2291319726400842,-0.10085799882222315,0.175
ULTA,0.34088385142641714,-0.1490241606765768,0.153
UHS,0.33965025205069993,-0.03961841896657983,0.33
UDR,0.25144062058215266,0.034148859840546206,0.124
UAL,0.4884836945529518,-0.013543859810331155,0.28800000000000003
TXT,0.29418023390379744,0.009471341817801036,0.33799999999999997
TXN,0.2803336886160035,0.01492845132840265,0.19899999999999998
TT,0.27855676332622237,-0.03186321429414586,0.161
TSN,0.2763077646180807,0.16229204878968792,0.36700000000000005
TSLA,0.6114665102171866,-0.06424518566754982,0.285
TSCO,0.3029622124453705,-0.09449972650854384,0.14
TRV,0.2255783289117328,-0.088520170639611,0.205
TROW,0.359843021825294,0.2526105623537477,0.17
TRMB,0.3565084433586111,0.2202244519670958,0.13
TRGP,0.35947574140471344,-0.28245318074223974,0.34
TPR,0.42200925656906896,-0.0210054850129172,0.133
TMUS,0.2579966425867782,0.028487204516431316,0.261
VRSK,0.24303667229206105,-0.12966302262465268,0.193
TMO,0.2740848749785264,-0.011977804310174209,0.135
VRSN,0.28135436763455096,0.01060572491469539,0.214
VTR,0.28463596381039263,0.05887074960741339,0.128
ZBH,0.2722390176973644,0.02891591414241099,0.273
YUM,0.21077250900934477,-0.10675084567494166,0.205
XYL,0.2991544636017266,0.02558047442151396,0.16
XRAY,0.3301186399562692,0.22534008065080371,0.158
XOM,0.31252098858265065,-0.30581265946124553,0.365
XEL,0.21039914137485274,0.00741497969255775,0.23800000000000002
WYNN,0.4994273659285095,0.07781905621911539,0.265
WY,0.2832015146996261,-0.043038238523399344,0.17600000000000002
WTW,0.24361559278585765,-0.018242642319894947,0.18600000000000003
WRB,0.2431964307290122,-0.10814750223686585,0.22
